score,portugal_goals,spain_goals,poisson_probability,poisson_probability_pct,monte_carlo_count,monte_carlo_probability,monte_carlo_probability_pct
1-1,1,1,0.09875533265742151,9.87553326574215,9858,0.09858,9.858
2-1,2,1,0.08553010969936788,8.553010969936787,8507,0.08507,8.507000000000001
1-2,1,2,0.07930902341286047,7.930902341286047,7965,0.07965,7.965
2-2,2,2,0.06868803223196801,6.868803223196801,6838,0.06838,6.837999999999999
1-0,1,0,0.06148490618468851,6.148490618468851,6073,0.06073,6.0729999999999995
0-1,0,1,0.057012762888751796,5.70127628887518,5730,0.0573,5.7299999999999995
2-0,2,0,0.053250904324066886,5.325090432406689,5368,0.05368,5.367999999999999
3-1,3,1,0.04938399759172327,4.938399759172327,4910,0.0491,4.91
0-2,0,2,0.045786150733360696,4.57861507333607,4593,0.04593,4.593
1-3,1,3,0.0424613100237746,4.24613100237746,4097,0.04097,4.0969999999999995
3-2,3,2,0.03965959625501087,3.965959625501087,3999,0.03999,3.9989999999999997
2-3,2,3,0.036774930594488615,3.6774930594488615,3741,0.03741,3.7409999999999997
0-0,0,0,0.035496051536831726,3.5496051536831725,3538,0.03538,3.5380000000000003
3-0,3,0,0.030746394926186343,3.0746394926186342,3059,0.03059,3.0589999999999997
0-3,0,3,0.024513477249163154,2.4513477249163156,2511,0.02511,2.511
4-1,4,1,0.02138526911790008,2.138526911790008,2164,0.02164,2.164
3-3,3,3,0.021233377231684277,2.1233377231684276,2160,0.0216,2.16
1-4,1,4,0.0170500414519296,1.70500414519296,1721,0.01721,1.7209999999999999
4-2,4,2,0.017174209873256914,1.7174209873256914,1711,0.01711,1.711
2-4,2,4,0.014766715644825656,1.4766715644825656,1490,0.0149,1.49
4-0,4,0,0.013314433054563658,1.3314433054563657,1348,0.01348,1.348
0-4,0,4,0.009843214987835901,0.9843214987835901,955,0.00955,0.955
4-3,4,3,0.009194911479939893,0.9194911479939893,938,0.00938,0.938
3-4,3,4,0.008526113814245725,0.8526113814245725,872,0.00872,0.872
5-1,5,1,0.007408549449980681,0.740854944998068,789,0.00789,0.7889999999999999
5-2,5,2,0.005949702218330755,0.5949702218330755,593,0.00593,0.5930000000000001
1-5,1,5,0.005477059720479635,0.5477059720479636,539,0.00539,0.539
5-0,5,0,0.004612550589818258,0.4612550589818258,440,0.0044,0.44
2-5,2,5,0.00474357694027177,0.47435769402717703,439,0.00439,0.439
4-4,4,4,0.0036921522626602683,0.3692152262660268,352,0.00352,0.35200000000000004
0-5,0,5,0.0031619791941207335,0.31619791941207337,328,0.00328,0.328
5-3,5,3,0.003185414970079126,0.3185414970079126,320,0.0032,0.32
3-5,3,5,0.0027388809977904947,0.2738880997790495,289,0.00289,0.28900000000000003
6-1,6,1,0.0021388011162501337,0.21388011162501336,191,0.00191,0.191
6-2,6,2,0.00171764119708412,0.17176411970841202,171,0.00171,0.17099999999999999
1-6,1,6,0.001466183296693466,0.1466183296693466,148,0.00148,0.148
2-6,2,6,0.0012698333834851288,0.1269833383485129,129,0.00129,0.129
4-5,4,5,0.0011860462918350093,0.11860462918350094,129,0.00129,0.129
6-0,6,0,0.0013316140246980774,0.13316140246980773,126,0.00126,0.126
5-4,5,4,0.0012790810564025591,0.1279081056402559,126,0.00126,0.126
6-3,6,3,0.0009196090462408789,0.09196090462408789,108,0.00108,0.108
0-6,0,6,0.0008464470565433419,0.08464470565433418,98,0.00098,0.098
3-6,3,6,0.0007331856462284285,0.07331856462284285,86,0.00086,0.086
7-1,7,1,0.0005292499559277708,0.05292499559277708,51,0.00051,0.051000000000000004
1-7,1,7,0.00033642035834845457,0.03364203583484546,45,0.00045,0.045
5-5,5,5,0.00041088482705466697,0.041088482705466695,38,0.00038,0.038
7-2,7,2,0.00042503322115817474,0.04250332211581748,29,0.00029,0.029
4-6,4,6,0.0003174990507573708,0.03174990507573708,29,0.00029,0.029
6-4,6,4,0.00036926256748078093,0.03692625674807809,26,0.00026,0.026
7-0,7,0,0.0003295101440380198,0.03295101440380198,25,0.00025,0.025
2-7,2,7,0.00029136725461155726,0.029136725461155727,25,0.00025,0.025
7-3,7,3,0.0002275588148406616,0.02275588148406616,23,0.00023,0.023
0-7,0,7,0.00019421993329722176,0.019421993329722175,17,0.00017,0.017
5-6,5,6,0.00010999194842439663,0.010999194842439663,17,0.00017,0.017
7-4,7,4,9.137464726389405e-05,0.009137464726389405,13,0.00013,0.013
3-7,3,7,0.00016823174728315018,0.01682317472831502,12,0.00012,0.012
6-5,6,5,0.00011861983680989758,0.011861983680989757,11,0.00011,0.011000000000000001
8-0,8,0,7.134561245515781e-05,0.0071345612455157815,10,0.0001,0.01
1-8,1,8,6.754361855419105e-05,0.006754361855419105,9,9e-05,0.009000000000000001
8-1,8,1,0.00011459332263584358,0.011459332263584358,7,7e-05,0.006999999999999999
8-2,8,2,9.202829116489847e-05,0.009202829116489848,7,7e-05,0.006999999999999999
2-8,2,8,5.849823952770691e-05,0.005849823952770691,7,7e-05,0.006999999999999999
4-7,4,7,7.285115351673536e-05,0.007285115351673536,6,6e-05,0.006
8-3,8,3,4.9271087121686855e-05,0.0049271087121686855,6,6e-05,0.006
3-8,3,8,3.3776139538584975e-05,0.0033776139538584976,6,6e-05,0.006
0-8,0,8,3.899382651706351e-05,0.0038993826517063506,4,4e-05,0.004
5-8,5,8,5.067070553295855e-06,0.0005067070553295854,3,3e-05,0.003
4-8,4,8,1.4626435060361416e-05,0.0014626435060361416,2,2e-05,0.002
7-5,7,5,2.935267937107976e-05,0.002935267937107976,1,1e-05,0.001
5-7,5,7,2.5237997723634243e-05,0.0025237997723634243,1,1e-05,0.001
8-4,8,4,1.9784459719590092e-05,0.001978445971959009,1,1e-05,0.001
6-7,6,7,7.286049457814987e-06,0.0007286049457814987,1,1e-05,0.001
6-6,6,6,3.175397608626883e-05,0.003175397608626883,1,1e-05,0.001
6-8,6,8,1.4628310479233714e-06,0.00014628310479233714,1,1e-05,0.001
8-6,8,6,1.7013239795780561e-06,0.0001701323979578056,1,1e-05,0.001
7-6,7,6,7.857575123045628e-06,0.0007857575123045628,0,0.0,0.0
8-5,8,5,6.355448913548256e-06,0.0006355448913548256,0,0.0,0.0
7-7,7,7,1.8029452692623165e-06,0.00018029452692623166,0,0.0,0.0
8-7,8,7,3.9037412591403394e-07,3.90374125914034e-05,0,0.0,0.0
7-8,7,8,3.6198001850709515e-07,3.6198001850709515e-05,0,0.0,0.0
8-8,8,8,7.837599717093452e-08,7.837599717093451e-06,0,0.0,0.0
